Date,FOP,TP,NOx,NHx,TN,TSS,FecalColiform,TC,O Saturation,OConcentration,Sp.Conductivity,Elec.Conductivity,TDS,Salinity,pH,MonthNumber
1/1/19,8.533333333,94.86666667,203.6666667,115,904.6666667,14.66666667,36.66666667,10.5,67.6,7.53,282,203.9,183.3,0.14,6.35,1
2/1/19,18.7,126.6333333,273,62.66666667,629.6666667,18.66666667,330,9,104.9,12.12,105,73,68,0.05,7.16,2
3/1/19,8,86.5,258,105.6666667,919.6666667,18.66666667,3.333333333,12.2,71.6,7.67,177,167,111,0.04,5.84,3
4/1/19,7.1,163,79,253,1831,24.66666667,46.66666667,18.4,39.4,3.7,153,133,99,0.07,7.66,4
5/1/19,11.6,357.5666667,212.3333333,534,4159,51,111.6666667,25.4,45.1,3.7,172,174,177,0.13,7.51,5
6/1/19,9.7,212.9333333,203.6666667,547,2252.333333,36,90,26.1,17,3.72,294,300,192,0.14,6.3,6
7/1/19,6.7,172.9333333,38,20,710.3333333,14,185,28,43.8,3.43,111.4,117.9,72.15,0.05,7.36,7
8/1/19,1.6,231.2666667,8,2.333333333,1342.666667,45,301.6666667,27.7,134.8,10.6,112.6,118.5,73.45,0.05,7.06,8
9/1/19,12.6,354.8333333,14,90,1162,39.33333333,531.6666667,26.1,54.5,4.41,169.2,172.8,109.85,0.08,6.98,9
10/1/19,9.7,142.0333333,171.3333333,106,1109,25.33333333,0,20.9,164,14.62,237,209,148,0.11,7.26,10
11/1/19,10.7,149.2666667,196.6666667,92.66666667,1079.666667,22,90,14.4,52.4,5.35,163.9,130.8,106.6,0.08,6.75,11
12/1/19,20.5,133.9333333,235,2.333333333,840,16.33333333,81.66666667,9.1,129.2,14.88,138.8,96.8,90.35,0.07,7.01,12