Date,FOP,TP,NOx,NHx,TN,TSS,FecalColiform,TC,OSaturation,OConcentration,Sp.Conductivity,Elec.Conductivity,TDS,Salinity,pH,MonthNumber
1/1/19,12.1,77.76666667,290,156.3333333,1133.333333,8.666666667,135,11.4,26.1,2.85,272.6,201.8,177.45,0.13,6.28,1
2/1/19,12.5,79.86666667,280,41,622.3333333,18.33333333,66.66666667,9.6,100.1,11.49,163,115,107,0.03,6.84,2
3/1/19,4,50.16666667,287.3333333,61.33333333,928,10.33333333,3.333333333,11.2,124.1,13.62,291,200,187,0.03,5.9,3
4/1/19,27.5,111.5,11.33333333,177.6666667,1524.333333,8,21.66666667,18,13.9,1.32,216,187,140,0.1,7.41,4
5/1/19,1.2,102.8,86.33333333,72.33333333,2024.333333,15.66666667,146.6666667,22.5,26.2,2.26,333,317,216,0.16,7.26,5
6/1/19,5.7,101.2,76.33333333,212,1689,10.33333333,110,24.4,34.3,2.86,265,261,172,0.12,6.4,6
7/1/19,7,88.5,280,11.66666667,769.3333333,11,103.3333333,27.3,41.2,3.26,62.9,65.7,40.95,0.03,7.29,7
8/1/19,0.2,94.7,8,4.666666667,1098.666667,19,55,26.2,144.5,11.67,92,94.1,59.8,0.04,7.14,8
9/1/19,0.2,78.66666667,167.6666667,20,844.3333333,4.333333333,1.666666667,25.5,101.2,8.28,204.9,207,133.25,0.1,6.93,9
10/1/19,58.56666667,138.8333333,262.6666667,86.33333333,1233.333333,8,0,21.3,153,13.58,230,214,149,0.11,6.86,10
11/1/19,55.66666667,169.8333333,107,54.33333333,640.3333333,8.333333333,6.666666667,15.7,4.1,0.4,157.1,129.1,102.05,0.07,6.45,11
12/1/19,37,126.3333333,354,9,900,15.33333333,76.66666667,10.8,98.9,10.97,135.9,98.9,88.4,0.06,6.97,12